corpus,doc_id,sent_id,eg_id,index,text,text_w_pairs,seq_label,pair_label,context,num_sents
semeval2010t8,train.json,0,0,semeval2010t8_train.json_0_0,The system as described above has its greatest application in an arrayed configuration of antenna elements .,The system as described above has its greatest application in an arrayed <ARG1>configuration</ARG1> of antenna <ARG0>elements</ARG0> .,0,0,,1
semeval2010t8,train.json,1,0,semeval2010t8_train.json_1_0,The child was carefully wrapped and bound into the cradle by means of a cord .,The <ARG1>child</ARG1> was carefully wrapped and bound into the <ARG0>cradle</ARG0> by means of a cord .,0,0,,1
semeval2010t8,train.json,2,0,semeval2010t8_train.json_2_0,The author of a keygen uses a disassembler to look at the raw assembly code .,The <ARG1>author</ARG1> of a keygen uses a <ARG0>disassembler</ARG0> to look at the raw assembly code .,0,0,,1
semeval2010t8,train.json,3,0,semeval2010t8_train.json_3_0,A misty ridge uprises from the surge .,A misty <ARG1>ridge</ARG1> uprises from the <ARG0>surge</ARG0> .,0,0,,1
semeval2010t8,train.json,4,0,semeval2010t8_train.json_4_0,The student association is the voice of the undergraduate student population of the State University of New York at Buffalo .,The <ARG0>student</ARG0> <ARG1>association</ARG1> is the voice of the undergraduate student population of the State University of New York at Buffalo .,0,0,,1
semeval2010t8,train.json,5,0,semeval2010t8_train.json_5_0,This is the sprawling complex that is Peru ' s largest producer of silver .,This is the sprawling <ARG1>complex</ARG1> that is Peru ' s largest <ARG0>producer</ARG0> of silver .,0,0,,1
semeval2010t8,train.json,6,0,semeval2010t8_train.json_6_0,The current view is that the chronic inflammation in the distal part of the stomach caused by Helicobacter pylori infection results in an increased acid production from the non-infected upper corpus region of the stomach .,The current view is that the chronic <ARG1>inflammation</ARG1> in the distal part of the stomach caused by Helicobacter pylori <ARG0>infection</ARG0> results in an increased acid production from the non-infected upper corpus region of the stomach .,1,1,,1
semeval2010t8,train.json,7,0,semeval2010t8_train.json_7_0,People have been moving back into downtown .,<ARG0>People</ARG0> have been moving back into <ARG1>downtown</ARG1> .,0,0,,1
semeval2010t8,train.json,8,0,semeval2010t8_train.json_8_0,The lawsonite was contained in a platinum crucible and the counter-weight was a plastic crucible with metal pieces .,The <ARG0>lawsonite</ARG0> was contained in a <ARG1>platinum crucible</ARG1> and the counter-weight was a plastic crucible with metal pieces .,0,0,,1
semeval2010t8,train.json,9,0,semeval2010t8_train.json_9_0,The solute was placed inside a beaker and 5 mL of the solvent was pipetted into a 25 mL glass flask for each trial .,The solute was placed inside a beaker and 5 mL of the <ARG0>solvent</ARG0> was pipetted into a 25 mL glass <ARG1>flask</ARG1> for each trial .,0,0,,1
semeval2010t8,train.json,10,0,semeval2010t8_train.json_10_0,The fifty essays collected in this volume testify to most of the prominent themes from Professor Quispel ' s scholarly career .,The fifty <ARG0>essays</ARG0> collected in this <ARG1>volume</ARG1> testify to most of the prominent themes from Professor Quispel ' s scholarly career .,0,0,,1
semeval2010t8,train.json,11,0,semeval2010t8_train.json_11_0,Their composer has sunk into oblivion .,Their <ARG1>composer</ARG1> has sunk into <ARG0>oblivion</ARG0> .,0,0,,1
